
[node 1]
ram_reads = 0
ram_writes = 0
ssd_reads = 0
ssd_writes = 0
hdd_reads = 0
hdd_writes = 0
cache_hits = 356997
cache_misses = 557148
cache_replacements = 556148
cache status --------------------------------
ARC cache size = 1000
p = 47, |L1| = 1000, |L2| = 1000
[  894] 0, 111627, 3
[  926] 0, 94166, 3
[    0] 0, 186155, 3
[  443] 0, 186194, 3
[ 1195] 0, 185, 3
[ 1606] 0, 186, 3
[ 1447] 0, 1876, 3
[ 1889] 0, 183549, 3
[  104] 0, 50321, 3
[ 1460] 0, 186219, 3
[   84] 0, 78392, 3
[ 1788] 0, 186227, 3
[  791] 0, 78386, 3
[ 1541] 0, 1851, 3
[ 1893] 0, 186210, 3
[ 1167] 0, 186206, 3
[  975] 0, 19339, 3
[  161] 0, 8369, 3
[  972] 0, 2755, 3
[  567] 0, 143355, 3
[  707] 0, 186231, 3
[ 1816] 0, 75078, 3
[  346] 0, 186235, 3
[ 1924] 0, 172274, 3
[  332] 0, 8616, 3
[  922] 0, 27079, 3
[  213] 0, 22615, 3
[ 1130] 0, 186249, 3
[ 1624] 0, 182316, 3
[ 1142] 0, 1974, 3
[ 1562] 0, 1966, 3
[  887] 0, 745, 3
[  453] 0, 185983, 3
[ 1344] 0, 185995, 3
[  548] 0, 4301, 3
[ 1596] 0, 21339, 3
[ 1586] 0, 21314, 3
[   24] 0, 1114, 3
[  691] 0, 1117, 3
[ 1605] 0, 970, 3
[  289] 0, 88688, 3
[  105] 0, 185872, 3
[ 1265] 0, 186221, 3
[  500] 0, 186263, 3
[ 1324] 0, 186265, 3
[  641] 0, 1338, 3
[ 1996] 0, 4087, 3
[ 1507] 0, 4088, 3
[ 1886] 0, 86, 3
[ 1477] 0, 151875, 3
[ 1105] 0, 145410, 3
[  787] 0, 56435, 3
[  821] 0, 28, 3
[ 1450] 0, 186279, 3
[  692] 0, 1200, 3
[ 1911] 0, 53598, 3
[ 1302] 0, 17292, 3
[ 1876] 0, 185760, 3
[ 1880] 0, 4292, 3
[ 1781] 0, 20094, 3
[  898] 0, 138706, 3
[  378] 0, 138569, 3
[ 1849] 0, 86871, 3
[  510] 0, 58042, 3
[  221] 0, 111400, 3
[ 1236] 0, 27076, 3
[  619] 0, 164195, 3
[ 1436] 0, 25758, 3
[ 1978] 0, 2578, 3
[  275] 0, 154, 3
[ 1425] 0, 155, 3
[ 1311] 0, 157, 3
[  823] 0, 158, 3
[  457] 0, 148878, 3
[ 1012] 0, 148871, 3
[ 1047] 0, 170, 3
[ 1201] 0, 171, 3
[  579] 0, 2703, 3
[  509] 0, 2704, 3
[ 1278] 0, 186295, 3
[  611] 0, 185041, 3
[  913] 0, 186290, 3
[  697] 0, 169682, 3
[ 1230] 0, 182312, 3
[ 1882] 0, 1587, 3
[ 1784] 0, 186306, 3
[ 1623] 0, 186305, 3
[  958] 0, 185149, 3
[  324] 0, 185683, 3
[  245] 0, 164925, 3
[    2] 0, 159663, 3
[ 1056] 0, 183118, 3
[  909] 0, 12616, 3
[ 1914] 0, 131406, 3
[  735] 0, 124068, 3
[ 1783] 0, 186301, 3
[  947] 0, 131408, 3
[ 1547] 0, 1324, 3
[ 1329] 0, 120437, 3
[  462] 0, 120440, 3
[  549] 0, 143973, 3
[ 1106] 0, 144152, 3
[  660] 0, 113421, 3
[   90] 0, 149, 3
[  238] 0, 150, 3
[ 1988] 0, 79864, 3
[  761] 0, 50532, 3
[  299] 0, 50513, 3
[  499] 0, 14292, 3
[ 1186] 0, 6425, 3
[  538] 0, 1346, 3
[  836] 0, 1333, 3
[ 1122] 0, 186317, 3
[  650] 0, 55, 3
[ 1221] 0, 152726, 3
[ 1218] 0, 1300, 3
[  404] 0, 50419, 3
[ 1811] 0, 3933, 3
[  724] 0, 80444, 3
[  463] 0, 54205, 3
[  291] 0, 1087, 3
[ 1953] 0, 1030, 3
[ 1815] 0, 8697, 3
[ 1615] 0, 175747, 3
[ 1668] 0, 175742, 3
[ 1539] 0, 4696, 3
[  103] 0, 181918, 3
[ 1166] 0, 181904, 3
[ 1719] 0, 631, 3
[  323] 0, 65826, 3
[  935] 0, 155763, 3
[ 1008] 0, 842, 3
[  577] 0, 843, 3
[  642] 0, 844, 3
[ 1777] 0, 845, 3
[ 1530] 0, 134845, 3
[ 1812] 0, 88971, 3
[   75] 0, 28994, 3
[  991] 0, 185463, 3
[  674] 0, 2195, 3
[ 1081] 0, 2196, 3
[  399] 0, 2233, 3
[ 1593] 0, 2234, 3
[  966] 0, 2235, 3
[  790] 0, 2236, 3
[  176] 0, 6089, 3
[  124] 0, 6090, 3
[  143] 0, 2863, 3
[ 1356] 0, 2252, 3
[ 1574] 0, 2253, 3
[  363] 0, 178614, 3
[  941] 0, 186289, 3
[ 1556] 0, 100572, 3
[ 1715] 0, 184937, 3
[  890] 0, 171372, 3
[ 1774] 0, 186351, 3
[ 1982] 0, 181115, 3
[  362] 0, 186267, 3
[ 1393] 0, 182248, 3
[  423] 0, 185626, 3
[ 1955] 0, 186352, 3
[  347] 0, 170701, 3
[  508] 0, 186313, 3
[  850] 0, 53854, 3
[ 1317] 0, 53821, 3
[  607] 0, 10140, 3
[  498] 0, 10101, 3
[ 1843] 0, 159327, 3
[ 1332] 0, 8722, 3
[  101] 0, 8744, 3
[ 1305] 0, 14198, 3
[ 1048] 0, 32501, 3
[  284] 0, 173634, 3
[  242] 0, 147916, 3
[  946] 0, 155946, 3
[ 1512] 0, 155956, 3
[    5] 0, 6586, 3
[   74] 0, 106113, 3
[  313] 0, 106208, 3
[  591] 0, 46403, 3
[ 1440] 0, 131438, 3
[ 1514] 0, 39573, 3
[ 1520] 0, 181614, 3
[  120] 0, 39596, 3
[  309] 0, 131500, 3
[ 1704] 0, 24954, 3
[ 1315] 0, 50429, 3
[ 1989] 0, 39608, 3
[ 1316] 0, 152066, 3
[ 1936] 0, 152060, 3
[ 1670] 0, 39612, 3
[ 1729] 0, 4160, 3
[  728] 0, 57424, 3
[ 1513] 0, 39586, 3
[ 1225] 0, 186218, 3
[  222] 0, 186228, 3
[  819] 0, 25010, 3
[ 1456] 0, 28464, 3
[  659] 0, 174936, 3
[ 1658] 0, 185310, 3
[  135] 0, 7510, 3
[ 1136] 0, 7630, 3
[ 1398] 0, 141321, 3
[  797] 0, 17279, 3
[ 1294] 0, 2350, 3
[  190] 0, 53529, 3
[ 1522] 0, 18488, 3
[  236] 0, 1710, 3
[  430] 0, 1840, 3
[ 1660] 0, 18482, 3
[ 1378] 0, 186077, 3
[ 1842] 0, 22362, 3
[ 1443] 0, 111754, 3
[  357] 0, 186405, 3
[  267] 0, 24077, 3
[ 1581] 0, 184571, 3
[  805] 0, 186341, 3
[  364] 0, 147942, 3
[ 1552] 0, 79077, 3
[ 1192] 0, 75003, 3
[  903] 0, 172792, 3
[    4] 0, 186368, 3
[  159] 0, 55137, 3
[ 1244] 0, 17942, 3
[  227] 0, 153974, 3
[   78] 0, 170011, 3
[ 1727] 0, 17954, 3
[ 1918] 0, 186431, 3
[ 1018] 0, 25159, 3
[  878] 0, 13252, 3
[  784] 0, 29387, 3
[ 1073] 0, 1143, 3
[   32] 0, 186427, 3
[ 1890] 0, 13261, 3
[   58] 0, 3195, 3
[ 1907] 0, 3753, 3
[ 1247] 0, 179, 3
[  183] 0, 180, 3
[ 1164] 0, 24068, 3
[  551] 0, 973, 3
[  223] 0, 187, 3
[ 1621] 0, 188, 3
[   44] 0, 205, 3
[  398] 0, 206, 3
[ 1877] 0, 620, 3
[ 1599] 0, 138324, 3
[ 1941] 0, 171547, 3
[ 1245] 0, 39381, 3
[ 1145] 0, 186448, 3
[  739] 0, 130236, 3
[  177] 0, 31886, 3
[ 1381] 0, 9241, 3
[  474] 0, 81144, 3
[ 1414] 0, 56727, 3
[  502] 0, 4015, 3
[  444] 0, 147632, 3
[  118] 0, 184115, 3
[   80] 0, 962, 3
[ 1952] 0, 186361, 3
[  623] 0, 74270, 3
[ 1366] 0, 74271, 3
[  741] 0, 74524, 3
[ 1086] 0, 74525, 3
[ 1695] 0, 74769, 3
[  554] 0, 74770, 3
[ 1055] 0, 74772, 3
[  665] 0, 74773, 3
[ 1430] 0, 186333, 3
[  737] 0, 50450, 3
[  628] 0, 186455, 3
[  247] 0, 138, 3
[ 1841] 0, 10473, 3
[ 1161] 0, 833, 3
[ 1045] 0, 834, 3
[  816] 0, 186474, 3
[  698] 0, 40210, 3
[ 1184] 0, 977, 3
[  594] 0, 4936, 3
[  617] 0, 4875, 3
[  435] 0, 186467, 3
[ 1495] 0, 57344, 3
[  350] 0, 186460, 3
[ 1536] 0, 148254, 3
[ 1870] 0, 186452, 3
[ 1506] 0, 182542, 3
[ 1277] 0, 59859, 3
[  681] 0, 98469, 3
[  918] 0, 66214, 3
[  715] 0, 68550, 3
[  331] 0, 68551, 3
[ 1640] 0, 66217, 3
[   43] 0, 1183, 3
[ 1359] 0, 1685, 3
[ 1817] 0, 164708, 3
[ 1497] 0, 183098, 3
[ 1358] 0, 49057, 3
[   68] 0, 69, 3
[   69] 0, 70, 3
[ 1271] 0, 184889, 3
[ 1321] 0, 51364, 3
[  879] 0, 6842, 3
[ 1194] 0, 3873, 3
[ 1163] 0, 9672, 3
[ 1957] 0, 186498, 3
[ 1600] 0, 186513, 3
[  147] 0, 72739, 3
[ 1104] 0, 87306, 3
[ 1568] 0, 182729, 3
[  546] 0, 186501, 3
[   93] 0, 186493, 3
[ 1354] 0, 186503, 3
[ 1647] 0, 117049, 3
[  864] 0, 183283, 3
[  425] 0, 186445, 3
[  139] 0, 3874, 3
[  936] 0, 186524, 3
[ 1942] 0, 185102, 3
[   72] 0, 9671, 3
[ 1038] 0, 5030, 3
[ 1011] 0, 4995, 3
[  983] 0, 186519, 3
[  376] 0, 83125, 3
[ 1840] 0, 9675, 3
[  917] 0, 186528, 3
[ 1080] 0, 186379, 3
